time_s,id,kind,role,alive,x_m,y_m,z_m,yaw_rad
0.0,asset-alpha,asset,protected_ground_asset,True,500.0,350.0,0.0,0.0
0.0,F1,drone,friendly,True,428.0,430.0,70.0,0.0
0.0,F2,drone,friendly,True,452.0,440.0,70.0,0.0
0.0,F3,drone,friendly,True,476.0,438.0,70.0,0.0
0.0,F4,drone,friendly,True,500.0,432.0,70.0,0.0
0.0,F5,drone,friendly,True,524.0,438.0,70.0,0.0
0.0,F6,drone,friendly,True,548.0,440.0,70.0,0.0
0.0,H1,drone,hostile_ground,True,140.0,90.0,80.0,0.5880026035475675
0.0,H2,drone,hostile_ground,True,850.0,95.0,80.0,2.4917222041778455
0.0,H3,drone,hostile_air,True,920.0,520.0,95.0,-2.7557099841917196
0.0,H4,drone,hostile_ground,True,175.0,620.0,80.0,-0.6947382761967031
0.5,asset-alpha,asset,protected_ground_asset,True,500.0,350.0,0.0,0.0
0.5,F1,drone,friendly,True,409.92789919891965,440.6957548885336,70.0,2.607196285058138
0.5,F2,drone,friendly,True,433.71740712466635,450.3318341912169,70.0,2.6272161782604213
0.5,F3,drone,friendly,True,457.13563815809914,447.15134585652675,70.0,2.689925471704549
0.5,F4,drone,friendly,True,500.0,421.5047263119659,70.0,-1.5707963267948966
0.5,F5,drone,friendly,True,521.3194765682329,429.2152344563955,70.0,-1.8669557806096213
0.5,F6,drone,friendly,True,545.8375524995705,431.85214898280736,70.0,-1.830216672388981
0.5,H1,drone,hostile_ground,True,153.0701852417917,99.22877336081292,80.0,0.6148038915910629
0.5,H2,drone,hostile_ground,True,837.8272715630427,103.96779043415326,80.0,2.506650495706299
0.5,H3,drone,hostile_air,True,903.9475261793797,513.4960627631209,95.0,-2.7566396727825797
0.5,H4,drone,hostile_ground,True,187.1325961094202,609.9122239423999,80.0,-0.6936320584287714
1.0,asset-alpha,asset,protected_ground_asset,True,500.0,350.0,0.0,0.0
1.0,F1,drone,friendly,True,391.9354886859813,451.525028360651,70.0,2.5997918883975717
1.0,F2,drone,friendly,True,415.45743729521143,460.7035988350659,70.0,2.625030757546379
1.0,F3,drone,friendly,True,440.41947710852605,455.5992281243098,70.0,2.673656565397586
1.0,F4,drone,friendly,True,497.56524270599374,411.1741598550428,70.0,-1.8022571313648539
1.0,F5,drone,friendly,True,519.1392510983707,420.73830272595677,70.0,-1.8225353189563993
1.0,F6,drone,friendly,True,543.3792846140875,423.8391887028062,70.0,-1.8684675627673806
